person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length,extraction_date
31,33579,RENT,3.0,PERSONAL,D,12847,8.11,0,0.59,Y,2,2023-03-02
24,90548,OWN,2.0,EDUCATION,B,6521,8.05,1,0.1,N,3,2023-03-02
22,71764,MORTGAGE,0.0,MEDICAL,C,3978,15.66,1,0.57,N,3,2023-03-02
21,22742,RENT,3.0,MEDICAL,C,4450,6.29,1,0.53,N,3,2023-03-02
25,56628,RENT,9.0,MEDICAL,C,6979,12.45,1,0.55,Y,3,2023-03-02
30,40384,OWN,5.0,VENTURE,A,8733,15.08,1,0.25,N,1,2023-03-02
23,88624,RENT,3.0,EDUCATION,B,10165,12.95,1,0.45,N,2,2023-03-02
30,77449,RENT,5.0,MEDICAL,B,9278,12.55,1,0.44,N,5,2023-03-02
20,43975,RENT,3.0,PERSONAL,A,2516,12.37,0,0.42,N,3,2023-03-02
26,22972,OWN,6.0,VENTURE,D,8969,17.08,1,0.16,N,3,2023-03-02
30,103878,RENT,7.0,VENTURE,B,9379,13.59,1,0.41,N,3,2023-03-02
22,92281,OWN,5.0,HOMEIMPROVEMENT,A,22834,11.33,1,0.45,N,1,2023-03-02
32,75878,RENT,5.0,VENTURE,A,6797,11.17,1,0.37,N,1,2023-03-02
27,49106,RENT,7.0,EDUCATION,E,10319,8.57,1,0.32,N,4,2023-03-02
37,56069,RENT,8.0,EDUCATION,A,7897,10.95,0,0.3,N,5,2023-03-02
27,196221,MORTGAGE,7.0,DEBTCONSOLIDATION,B,13949,11.2,0,0.06,N,4,2023-03-02
28,21984,RENT,7.0,EDUCATION,A,7742,14.69,1,0.29,N,5,2023-03-02
44,110145,RENT,7.0,MEDICAL,F,7567,8.17,0,0.32,N,3,2023-03-02
30,38582,RENT,6.0,DEBTCONSOLIDATION,D,8454,16.17,0,0.31,N,4,2023-03-02
28,77604,MORTGAGE,5.0,EDUCATION,B,4884,17.71,0,0.16,N,3,2023-03-02
21,89527,RENT,10.0,VENTURE,A,29867,10.26,0,0.22,N,4,2023-03-02
34,47491,RENT,7.0,PERSONAL,E,8805,,0,0.25,Y,1,2023-03-02
25,137577,RENT,5.0,EDUCATION,D,11288,8.01,1,0.52,N,3,2023-03-02
24,60225,OWN,3.0,PERSONAL,A,2719,11.49,1,0.14,N,4,2023-03-02
